phase,threshold,coverage,epe,gain,harmful_selected_fraction
test,0.2,0.16697531938552856,0.20688240230083466,-0.030298233032226562,0.19316081702709198
test,0.4,0.14413580298423767,0.20649971067905426,-0.029915541410446167,0.22376874089241028
test,0.6,0.061342597007751465,0.2017272710800171,-0.025143101811408997,0.5188679099082947
test,0.8,0.04729938507080078,0.1999235898256302,-0.023339420557022095,0.6345840096473694
test,0.0,0.22345679998397827,0.21590791642665863,-0.03864598274230957,0.1508977860212326
test,0.01,0.16716821491718292,0.21590514481067657,-0.038643211126327515,0.20170782506465912
test,0.05,0.1592978537082672,0.215871199965477,-0.03860926628112793,0.2116735279560089
test,0.1,0.15408951044082642,0.21583355963230133,-0.03857162594795227,0.2188282459974289
test,0.2,0.14452160894870758,0.21575245261192322,-0.03849051892757416,0.23331554234027863
test,0.4,0.12492284178733826,0.21513105928897858,-0.03786912560462952,0.2699196934700012
test,0.6,0.060995373874902725,0.21269108355045319,-0.035429149866104126,0.5433270335197449
test,0.8,0.044290125370025635,0.21028833091259003,-0.03302639722824097,0.700348436832428
test,0.0,0.20528550446033478,0.1906677931547165,-0.013479083776473999,0.04961473494768143
test,0.01,0.15138889849185944,0.1906675547361374,-0.013478845357894897,0.06727828830480576
test,0.05,0.14425155520439148,0.19065509736537933,-0.01346638798713684,0.07060711085796356
test,0.1,0.13919754326343536,0.19061768054962158,-0.01342897117137909,0.0731707289814949
test,0.2,0.12970679998397827,0.1904943734407425,-0.0133056640625,0.07852468639612198
test,0.4,0.10597994178533554,0.1899116188287735,-0.012722909450531006,0.09610483795404434
test,0.6,0.036265432834625244,0.18686290085315704,-0.00967419147491455,0.27553191781044006
test,0.8,0.01774691417813301,0.1854076236486435,-0.008218914270401001,0.4956521689891815
test,0.0,0.19347994029521942,0.1958530843257904,-0.02584032714366913,0.08315055072307587
test,0.01,0.13858024775981903,0.1958533525466919,-0.025840595364570618,0.11609131097793579
test,0.05,0.1303240805864334,0.19584277272224426,-0.025830015540122986,0.12344582378864288
test,0.1,0.12334105372428894,0.195816308259964,-0.025803551077842712,0.1304347813129425
test,0.2,0.11219136416912079,0.1955554485321045,-0.025542691349983215,0.1433975249528885
test,0.4,0.09614197909832001,0.19509345293045044,-0.025080695748329163,0.16653290390968323
test,0.6,0.0344521626830101,0.1890898048877716,-0.01907704770565033,0.43449047207832336
test,0.8,0.022337963804602623,0.18698225915431976,-0.016969501972198486,0.6286700963973999
test,0.0,0.18013118207454681,0.20371347665786743,-0.023614197969436646,0.0976654514670372
test,0.01,0.11983025074005127,0.20370744168758392,-0.023608162999153137,0.14681261777877808
test,0.05,0.1128472238779068,0.20367825031280518,-0.02357897162437439,0.15589743852615356
test,0.1,0.10787037760019302,0.20365074276924133,-0.023551464080810547,0.16309012472629547
test,0.2,0.10081019252538681,0.20353534817695618,-0.02343606948852539,0.17451205849647522
test,0.4,0.08850309252738953,0.2027902603149414,-0.02269098162651062,0.19834350049495697
test,0.6,0.03506944701075554,0.19802109897136688,-0.017921820282936096,0.48074808716773987
test,0.8,0.024228395894169807,0.19638724625110626,-0.016287967562675476,0.6401273608207703
test,0.0,0.1714506298303604,0.21735641360282898,-0.01940634846687317,0.07605760544538498
test,0.01,0.11261574923992157,0.21735557913780212,-0.019405514001846313,0.11579307913780212
test,0.05,0.10281636565923691,0.21733608841896057,-0.01938602328300476,0.12682926654815674
test,0.1,0.09606482088565826,0.21726585924625397,-0.019315794110298157,0.13574297726154327
test,0.2,0.0870756208896637,0.21715043485164642,-0.019200369715690613,0.1497563123703003
test,0.4,0.07253086566925049,0.2167598158121109,-0.01880975067615509,0.17872340977191925
test,0.6,0.02739197574555874,0.21302607655525208,-0.015076011419296265,0.4591549336910248
